時刻,窓温度_℃,窓湿度_%,窓気圧_hPa,窓照度_lux,室内温度_℃,室内湿度_%,室内照度_level,label
,,,,,,,,"全開0, 全閉100"
2025/8/27 16:19,37.85,50,1013.25,9771.67,26.5,50,5,100
2025/8/27 16:23,37.87,50,1013.25,10670,26.3,49,5,100
2025/8/27 16:28,36.15,50,1013.25,6870,26.3,49,5,100
2025/8/27 16:33,36.29,50,1013.25,7899.17,26.3,49,5,100
2025/8/27 16:38,35.24,50,1013.25,5033.33,26.3,49,5,100
2025/8/27 16:43,35.16,50,1013.25,4358.33,26.3,49,5,100
2025/8/27 16:48,34.77,50,1013.25,4395.83,26.3,49,5,100
2025/8/27 16:53,33.57,50,1013.25,2807.5,26.1,48,5,100
2025/8/27 16:58,32.99,50,1013.25,2375.83,26.3,48,5,100
2025/8/27 17:03,32.99,50,1013.25,2217.5,26.3,48,5,100
2025/8/27 17:08,32.98,50,1013.25,2118.33,26.3,48,5,
2025/8/27 17:13,32.84,50,1013.25,1956.67,26.3,50,5,
2025/8/27 17:18,32.91,50,1013.25,1910.83,26.3,50,5,
2025/8/27 17:23,32.66,50,1013.25,2039.17,26.5,51,5,
2025/8/27 17:28,32.36,50,1013.25,2120,26.5,51,5,
2025/8/27 17:33,32.93,50,1013.25,2920.83,26.5,51,5,
2025/8/27 17:38,31.76,50,1013.25,2303.33,26.5,51,5,
2025/8/27 17:43,31.71,50,1013.25,2178.33,26.3,48,5,
2025/8/27 17:48,31.47,50,1013.25,1157.5,26.3,48,5,0
2025/8/27 17:53,31.52,50,1013.25,850.83,26.1,48,5,0
2025/8/27 17:58,31.77,50,1013.25,657.5,26.1,48,5,0
2025/8/27 18:03,31.99,50,1013.25,475.83,26.5,49,5,0
2025/8/27 18:08,31.85,50,1013.25,335.83,26.9,49,5,0
2025/8/27 18:13,31.9,50,1013.25,178.33,26.9,49,5,0
2025/8/27 18:18,31.23,50,1013.25,115,27.3,49,5,0
2025/8/27 18:23,30.57,50,1013.25,32.5,26.9,49,5,0
2025/8/27 18:28,30.31,50,1013.25,11.67,26.5,49,5,0
2025/8/27 18:33,29.99,50,1013.25,5,26.1,48,5,0
2025/8/27 18:38,29.72,50,1013.25,3.33,26.1,48,5,0
2025/8/27 18:43,29.76,50,1013.25,2.5,25.7,49,5,0
2025/8/27 18:48,29.65,50,1013.25,2.5,25.7,49,5,0
2025/8/27 18:53,29.39,50,1013.25,2.5,25.7,49,5,0
2025/8/27 18:58,29.49,50,1013.25,2.5,25.7,49,5,0
2025/8/27 19:03,29.13,50,1013.25,2.5,25.7,49,5,0
2025/8/27 19:08,29.18,50,1013.25,2.5,25.7,49,5,0
2025/8/27 19:13,28.78,50,1013.25,2.5,25.7,51,5,0
2025/8/27 19:18,28.56,50,1013.25,2.5,25.7,51,5,0
2025/8/27 19:23,28.67,50,1013.25,2.5,25.7,51,5,0
2025/8/27 19:28,28.35,50,1013.25,2.5,25.7,51,5,0
2025/8/27 19:33,28.26,50,1013.25,2.5,25.7,51,5,0
2025/8/27 19:38,27.9,50,1013.25,2.5,25.7,49,5,0
2025/8/27 19:43,27.84,50,1013.25,2.5,25.7,49,5,0
2025/8/27 19:48,27.77,50,1013.25,0,25.5,49,5,0
